CustomerID,City,Segment,CustomerRating
C1000,Chennai,Corporate,1
C1001,Hyderabad,Home Office,4
C1002,Bangalore,Corporate,5
C1003,Hyderabad,Corporate,1
C1004,Hyderabad,Home Office,1
C1005,Delhi,Consumer,1
C1006,Bangalore,Consumer,1
C1007,Bangalore,Consumer,2
C1008,Bangalore,Consumer,2
C1009,Hyderabad,Home Office,3
C1010,Chennai,Home Office,1
C1011,Bangalore,Home Office,3
C1012,Hyderabad,Corporate,4
C1013,Delhi,Home Office,3
C1014,Chennai,Consumer,5
C1015,Delhi,Corporate,2
C1016,Chennai,Consumer,2
C1017,Hyderabad,Consumer,1
C1018,Mumbai,Home Office,1
C1019,Chennai,Home Office,4
C1020,Delhi,Consumer,4
C1021,Hyderabad,Consumer,5
C1022,Chennai,Corporate,1
C1023,Mumbai,Home Office,1
C1024,Mumbai,Corporate,4
C1025,Bangalore,Corporate,4
C1026,Bangalore,Corporate,4
C1027,Delhi,Consumer,2
C1028,Chennai,Corporate,3
C1029,Chennai,Corporate,3
C1030,Bangalore,Consumer,1
C1031,Chennai,Home Office,2
C1032,Chennai,Home Office,4
C1033,Mumbai,Corporate,1
C1034,Bangalore,Consumer,2
C1035,Hyderabad,Home Office,5
C1036,Bangalore,Corporate,2
C1037,Hyderabad,Corporate,1
C1038,Mumbai,Consumer,3
C1039,Delhi,Corporate,4
C1040,Chennai,Home Office,5
C1041,Mumbai,Consumer,2
C1042,Chennai,Home Office,1
C1043,Delhi,Home Office,1
C1044,Delhi,Home Office,4
C1045,Mumbai,Corporate,1
C1046,Delhi,Corporate,1
C1047,Hyderabad,Home Office,4
C1048,Delhi,Home Office,5
C1049,Chennai,Consumer,3
C1050,Chennai,Consumer,3
C1051,Chennai,Corporate,2
C1052,Chennai,Corporate,5
C1053,Hyderabad,Consumer,2
C1054,Bangalore,Home Office,3
C1055,Mumbai,Corporate,4
C1056,Chennai,Home Office,1
C1057,Delhi,Consumer,3
C1058,Chennai,Corporate,5
C1059,Delhi,Corporate,3
C1060,Delhi,Consumer,5
C1061,Chennai,Corporate,5
C1062,Hyderabad,Consumer,5
C1063,Delhi,Corporate,2
C1064,Delhi,Consumer,4
C1065,Chennai,Corporate,3
C1066,Delhi,Home Office,4
C1067,Delhi,Home Office,1
C1068,Chennai,Home Office,3
C1069,Chennai,Corporate,4
C1070,Mumbai,Corporate,4
C1071,Hyderabad,Home Office,1
C1072,Hyderabad,Home Office,5
C1073,Delhi,Consumer,3
C1074,Hyderabad,Consumer,3
C1075,Delhi,Consumer,1
C1076,Mumbai,Home Office,5
C1077,Chennai,Home Office,3
C1078,Chennai,Home Office,3
C1079,Chennai,Consumer,3
C1080,Hyderabad,Corporate,5
C1081,Mumbai,Home Office,1
C1082,Hyderabad,Corporate,3
C1083,Hyderabad,Corporate,4
C1084,Mumbai,Corporate,5
C1085,Mumbai,Consumer,2
C1086,Mumbai,Corporate,1
