OrderID,ShipmentID,ShipDate,DeliveryDays,DeliveryDate,ShippingMode,ShippingCost,DeliveryStatus
10000,SH9000,2023-05-24,7,2023-05-31,Air,262.27,Delayed
10001,SH9001,2023-07-27,4,2023-07-31,Road,315.75,On Time
10002,SH9002,2023-05-24,6,2023-05-30,Sea,327.9,Delayed
10003,SH9003,2023-07-06,5,2023-07-11,Air,112.82,On Time
10004,SH9004,2023-08-30,3,2023-09-02,Road,453.8,On Time
10005,SH9005,2023-01-09,5,2023-01-14,Sea,376.37,On Time
10006,SH9006,2023-03-15,3,2023-03-18,Air,350.14,On Time
10007,SH9007,2023-10-17,3,2023-10-20,Air,190.11,On Time
10008,SH9008,2023-04-06,2,2023-04-08,Road,90.76,On Time
10009,SH9009,2023-06-08,6,2023-06-14,Air,293.92,Delayed
10010,SH9010,2023-02-12,5,2023-02-17,Sea,173.04,On Time
10011,SH9011,2023-11-29,3,2023-12-02,Air,283.1,On Time
10012,SH9012,2023-10-29,3,2023-11-01,Road,252.37,On Time
10013,SH9013,2023-09-27,6,2023-10-03,Road,455.69,Delayed
10014,SH9014,2023-06-06,4,2023-06-10,Sea,263.42,On Time
10015,SH9015,2023-10-04,6,2023-10-10,Sea,256.49,Delayed
10016,SH9016,2023-06-04,7,2023-06-11,Air,55.35,Delayed
10017,SH9017,2023-02-23,2,2023-02-25,Road,301.49,On Time
10018,SH9018,2023-06-30,2,2023-07-02,Air,475.41,On Time
10019,SH9019,2023-08-30,3,2023-09-02,Sea,140.35,On Time
10020,SH9020,2023-05-18,7,2023-05-25,Road,159.38,Delayed
10021,SH9021,2023-09-14,6,2023-09-20,Road,404.3,Delayed
10022,SH9022,2023-08-14,2,2023-08-16,Road,345.03,On Time
10023,SH9023,2023-06-30,4,2023-07-04,Road,239.82,On Time
10024,SH9024,2023-07-03,2,2023-07-05,Sea,147.56,On Time
10025,SH9025,2023-09-18,4,2023-09-22,Air,246.18,On Time
10026,SH9026,2023-09-02,7,2023-09-09,Road,451.06,Delayed
10027,SH9027,2023-04-08,4,2023-04-12,Sea,158.4,On Time
10028,SH9028,2023-07-17,7,2023-07-24,Air,476.16,Delayed
10029,SH9029,2023-01-16,3,2023-01-19,Sea,409.05,On Time
10030,SH9030,2023-05-01,3,2023-05-04,Sea,329.39,On Time
10031,SH9031,2023-09-27,2,2023-09-29,Sea,141.19,On Time
10032,SH9032,2023-06-22,5,2023-06-27,Road,407.94,On Time
10033,SH9033,2023-03-15,3,2023-03-18,Air,361.49,On Time
10034,SH9034,2023-06-30,5,2023-07-05,Sea,292.49,On Time
10035,SH9035,2023-06-20,3,2023-06-23,Road,170.54,On Time
10036,SH9036,2023-06-09,4,2023-06-13,Road,225.15,On Time
10037,SH9037,2023-06-04,2,2023-06-06,Air,289.57,On Time
10038,SH9038,2023-03-25,2,2023-03-27,Sea,441.44,On Time
10039,SH9039,2023-02-27,2,2023-03-01,Air,318.2,On Time
10040,SH9040,2023-01-08,7,2023-01-15,Road,153.14,Delayed
10041,SH9041,2023-04-24,7,2023-05-01,Road,429.63,Delayed
10042,SH9042,2023-02-19,2,2023-02-21,Sea,483.96,On Time
10043,SH9043,2023-03-23,5,2023-03-28,Air,311.69,On Time
10044,SH9044,2023-11-14,7,2023-11-21,Road,403.09,Delayed
10045,SH9045,2023-02-03,5,2023-02-08,Road,97.4,On Time
10046,SH9046,2023-04-26,6,2023-05-02,Road,218.05,Delayed
10047,SH9047,2023-01-05,2,2023-01-07,Sea,480.35,On Time
10048,SH9048,2023-01-05,5,2023-01-10,Sea,443.09,On Time
10049,SH9049,2023-12-24,5,2023-12-29,Air,368.64,On Time
10050,SH9050,2023-09-18,2,2023-09-20,Road,464.7,On Time
10051,SH9051,2023-02-13,5,2023-02-18,Sea,466.9,On Time
10052,SH9052,2023-01-10,5,2023-01-15,Road,84.54,On Time
10053,SH9053,2023-11-04,2,2023-11-06,Sea,434.94,On Time
10054,SH9054,2023-05-26,7,2023-06-02,Road,232.31,Delayed
10055,SH9055,2023-04-09,6,2023-04-15,Air,174.99,Delayed
10056,SH9056,2023-10-04,7,2023-10-11,Air,478.63,Delayed
10057,SH9057,2023-05-24,6,2023-05-30,Sea,449.96,Delayed
10058,SH9058,2023-10-07,6,2023-10-13,Road,176.36,Delayed
10059,SH9059,2023-01-29,7,2023-02-05,Sea,109.0,Delayed
10060,SH9060,2023-02-14,7,2023-02-21,Sea,280.26,Delayed
10061,SH9061,2023-05-13,4,2023-05-17,Road,455.33,On Time
10062,SH9062,2023-08-06,7,2023-08-13,Sea,305.66,Delayed
10063,SH9063,2023-04-06,4,2023-04-10,Air,454.05,On Time
10064,SH9064,2023-01-09,2,2023-01-11,Air,142.45,On Time
10065,SH9065,2023-03-29,3,2023-04-01,Air,174.14,On Time
10066,SH9066,2023-12-12,7,2023-12-19,Road,398.33,Delayed
10067,SH9067,2023-05-20,5,2023-05-25,Road,282.3,On Time
10068,SH9068,2023-09-04,2,2023-09-06,Road,225.95,On Time
10069,SH9069,2023-01-22,5,2023-01-27,Road,175.17,On Time
10070,SH9070,2023-09-24,4,2023-09-28,Road,68.45,On Time
10071,SH9071,2023-05-30,5,2023-06-04,Air,416.31,On Time
10072,SH9072,2023-07-05,7,2023-07-12,Air,193.84,Delayed
10073,SH9073,2023-08-16,2,2023-08-18,Air,138.41,On Time
10074,SH9074,2023-10-21,4,2023-10-25,Sea,450.83,On Time
10075,SH9075,2023-02-07,3,2023-02-10,Sea,155.39,On Time
10076,SH9076,2023-09-04,5,2023-09-09,Sea,320.44,On Time
10077,SH9077,2023-03-15,3,2023-03-18,Road,337.65,On Time
10078,SH9078,2023-06-01,4,2023-06-05,Sea,380.26,On Time
10079,SH9079,2023-01-02,3,2023-01-05,Road,316.6,On Time
10080,SH9080,2023-03-12,3,2023-03-15,Road,455.59,On Time
10081,SH9081,2023-10-22,2,2023-10-24,Air,466.13,On Time
10082,SH9082,2023-08-20,3,2023-08-23,Sea,190.55,On Time
10083,SH9083,2023-07-31,2,2023-08-02,Road,98.81,On Time
10084,SH9084,2023-03-15,7,2023-03-22,Road,141.81,Delayed
10085,SH9085,2023-12-30,7,2024-01-06,Road,153.8,Delayed
10086,SH9086,2023-04-07,6,2023-04-13,Road,499.68,Delayed
10087,SH9087,2023-03-26,5,2023-03-31,Air,226.26,On Time
10088,SH9088,2023-08-18,6,2023-08-24,Air,423.49,Delayed
10089,SH9089,2023-10-28,5,2023-11-02,Road,73.46,On Time
10090,SH9090,2023-08-26,2,2023-08-28,Air,318.78,On Time
10091,SH9091,2023-10-22,5,2023-10-27,Sea,431.93,On Time
10092,SH9092,2023-08-12,6,2023-08-18,Sea,405.15,Delayed
10093,SH9093,2023-08-13,6,2023-08-19,Sea,151.73,Delayed
10094,SH9094,2023-10-09,3,2023-10-12,Road,121.89,On Time
10095,SH9095,2023-08-10,5,2023-08-15,Road,484.72,On Time
10096,SH9096,2023-08-05,2,2023-08-07,Air,112.64,On Time
10097,SH9097,2023-08-21,6,2023-08-27,Road,391.14,Delayed
10098,SH9098,2023-06-20,7,2023-06-27,Air,104.21,Delayed
10099,SH9099,2023-11-27,2,2023-11-29,Sea,147.74,On Time
10100,SH9100,2023-02-13,5,2023-02-18,Road,288.79,On Time
10101,SH9101,2023-09-17,3,2023-09-20,Road,183.13,On Time
10102,SH9102,2023-07-17,5,2023-07-22,Sea,150.99,On Time
10103,SH9103,2023-04-08,4,2023-04-12,Sea,130.79,On Time
10104,SH9104,2023-11-14,7,2023-11-21,Sea,122.63,Delayed
10105,SH9105,2023-01-15,3,2023-01-18,Air,341.18,On Time
10106,SH9106,2023-04-24,2,2023-04-26,Road,449.07,On Time
10107,SH9107,2023-03-20,5,2023-03-25,Road,414.76,On Time
10108,SH9108,2023-10-06,4,2023-10-10,Sea,493.1,On Time
10109,SH9109,2023-11-17,6,2023-11-23,Road,261.64,Delayed
10110,SH9110,2023-06-10,5,2023-06-15,Road,244.24,On Time
10111,SH9111,2023-11-10,5,2023-11-15,Sea,194.36,On Time
10112,SH9112,2023-04-30,3,2023-05-03,Air,226.73,On Time
10113,SH9113,2023-06-12,2,2023-06-14,Sea,307.85,On Time
10114,SH9114,2023-11-05,4,2023-11-09,Road,251.74,On Time
10115,SH9115,2023-12-18,3,2023-12-21,Sea,335.78,On Time
10116,SH9116,2023-05-27,6,2023-06-02,Air,440.77,Delayed
10117,SH9117,2023-06-13,6,2023-06-19,Sea,140.27,Delayed
10118,SH9118,2023-06-29,4,2023-07-03,Air,247.79,On Time
10119,SH9119,2023-03-31,7,2023-04-07,Air,87.99,Delayed
10120,SH9120,2023-08-12,5,2023-08-17,Road,249.87,On Time
10121,SH9121,2023-09-24,5,2023-09-29,Road,76.72,On Time
10122,SH9122,2023-08-28,3,2023-08-31,Air,381.76,On Time
10123,SH9123,2023-11-05,4,2023-11-09,Sea,202.82,On Time
10124,SH9124,2023-02-05,6,2023-02-11,Air,208.03,Delayed
10125,SH9125,2023-06-17,4,2023-06-21,Road,232.77,On Time
10126,SH9126,2023-05-07,4,2023-05-11,Road,244.73,On Time
10127,SH9127,2023-08-13,5,2023-08-18,Sea,105.73,On Time
10128,SH9128,2023-06-01,5,2023-06-06,Road,285.44,On Time
10129,SH9129,2023-07-10,6,2023-07-16,Road,423.25,Delayed
10130,SH9130,2023-02-13,2,2023-02-15,Road,462.46,On Time
10131,SH9131,2023-01-31,7,2023-02-07,Road,403.27,Delayed
10132,SH9132,2023-12-29,4,2024-01-02,Sea,480.19,On Time
10133,SH9133,2023-05-01,2,2023-05-03,Air,51.77,On Time
10134,SH9134,2023-12-05,4,2023-12-09,Air,306.95,On Time
10135,SH9135,2023-02-01,4,2023-02-05,Air,50.63,On Time
10136,SH9136,2023-07-01,7,2023-07-08,Sea,229.96,Delayed
10137,SH9137,2023-06-13,3,2023-06-16,Air,474.03,On Time
10138,SH9138,2023-05-09,7,2023-05-16,Road,372.56,Delayed
10139,SH9139,2023-09-14,5,2023-09-19,Sea,454.66,On Time
10140,SH9140,2023-10-22,4,2023-10-26,Road,148.22,On Time
10141,SH9141,2023-12-24,4,2023-12-28,Sea,403.06,On Time
10142,SH9142,2023-09-13,6,2023-09-19,Sea,250.57,Delayed
10143,SH9143,2023-05-11,6,2023-05-17,Sea,431.0,Delayed
10144,SH9144,2023-01-13,2,2023-01-15,Air,233.62,On Time
10145,SH9145,2023-02-05,2,2023-02-07,Road,405.4,On Time
10146,SH9146,2023-07-18,3,2023-07-21,Air,342.82,On Time
10147,SH9147,2023-09-06,5,2023-09-11,Air,216.95,On Time
10148,SH9148,2023-04-22,7,2023-04-29,Sea,343.45,Delayed
10149,SH9149,2023-11-25,6,2023-12-01,Sea,159.43,Delayed
10150,SH9150,2023-09-03,2,2023-09-05,Sea,118.55,On Time
10151,SH9151,2023-09-09,3,2023-09-12,Road,81.7,On Time
10152,SH9152,2023-11-14,2,2023-11-16,Road,470.93,On Time
10153,SH9153,2023-06-13,3,2023-06-16,Air,402.25,On Time
10154,SH9154,2023-02-19,2,2023-02-21,Air,245.95,On Time
10155,SH9155,2023-03-13,2,2023-03-15,Air,52.89,On Time
10156,SH9156,2023-05-16,2,2023-05-18,Air,323.73,On Time
10157,SH9157,2023-08-29,4,2023-09-02,Sea,118.79,On Time
10158,SH9158,2023-03-11,4,2023-03-15,Air,127.65,On Time
10159,SH9159,2023-10-07,4,2023-10-11,Air,166.65,On Time
10160,SH9160,2023-02-02,3,2023-02-05,Sea,455.51,On Time
10161,SH9161,2023-05-04,2,2023-05-06,Road,443.17,On Time
10162,SH9162,2023-01-23,5,2023-01-28,Air,128.06,On Time
10163,SH9163,2023-06-06,7,2023-06-13,Road,85.27,Delayed
10164,SH9164,2023-04-21,6,2023-04-27,Road,272.76,Delayed
10165,SH9165,2023-09-29,3,2023-10-02,Sea,193.36,On Time
10166,SH9166,2023-10-29,4,2023-11-02,Road,482.1,On Time
10167,SH9167,2023-04-26,6,2023-05-02,Road,101.96,Delayed
10168,SH9168,2023-08-10,3,2023-08-13,Road,163.0,On Time
10169,SH9169,2023-08-19,5,2023-08-24,Air,147.14,On Time
10170,SH9170,2023-09-11,2,2023-09-13,Sea,357.49,On Time
10171,SH9171,2023-09-08,4,2023-09-12,Sea,79.85,On Time
10172,SH9172,2023-01-10,5,2023-01-15,Road,193.85,On Time
10173,SH9173,2023-02-05,5,2023-02-10,Road,92.94,On Time
10174,SH9174,2023-08-18,4,2023-08-22,Sea,422.16,On Time
10175,SH9175,2023-03-16,6,2023-03-22,Sea,305.98,Delayed
10176,SH9176,2023-10-30,2,2023-11-01,Road,344.36,On Time
10177,SH9177,2023-08-02,7,2023-08-09,Sea,222.32,Delayed
10178,SH9178,2023-03-14,4,2023-03-18,Sea,398.13,On Time
10179,SH9179,2023-02-28,4,2023-03-04,Road,306.85,On Time
10180,SH9180,2023-08-09,4,2023-08-13,Road,121.46,On Time
10181,SH9181,2023-10-03,6,2023-10-09,Sea,349.84,Delayed
10182,SH9182,2023-09-08,7,2023-09-15,Air,342.05,Delayed
